Tarih,TUFE_Genel,Cekirdek_C,Hizmet,Mallar,Enerji,Kira,Beklenti_Piyasa,Beklenti_ReelSektor,Beklenti_Hanehalki,TUFE_Aylik_Pct,TUFE_Yillik_Pct,Cekirdek_Yillik_Pct,Hizmet_Yillik_Pct
2021-01-01,16.13,17.14,13.24,17.79,16.67,10.55,10.53,14.5,41.22,1.7023959646910392,14.967925873129007,15.49865229110512,11.541701769165979
2021-02-01,16.27,17.21,13.38,17.94,16.71,10.64,10.36,14.4,40.11,0.8679479231246123,15.636105188343997,16.205266711681297,11.77944862155389
2021-03-01,16.45,17.44,13.55,18.12,16.73,10.7,10.47,14.6,39.23,1.1063306699446773,16.254416961130723,16.890080428954434,12.54152823920267
2021-04-01,16.72,17.76,13.65,18.49,16.74,10.76,11.26,15.8,44.46,1.6413373860182379,17.086834733893564,17.771883289124666,13.184079601990039
2021-05-01,16.87,17.94,13.81,18.63,16.99,10.84,11.81,16.4,44.31,0.8971291866028741,16.58604008293021,17.025440313111552,13.662551440329217
2021-06-01,17.2,18.39,14.07,18.99,17.37,10.93,12.12,16.5,44.9,1.956135151155891,17.56664388243334,17.432950191570875,13.467741935483879
2021-07-01,17.51,18.51,14.26,19.37,18.45,11.03,12.62,16.9,45.81,1.8023255813953698,18.953804347826097,17.226092463584553,13.716108452950571
2021-08-01,17.71,18.58,14.44,19.58,18.57,11.16,12.48,17.2,48.66,1.142204454597362,19.259259259259267,16.781898177247,13.880126182965302
2021-09-01,17.93,18.86,14.67,19.8,18.97,11.31,12.94,17.9,47.41,1.2422360248447228,19.613075383589052,16.997518610421825,15.058823529411768
2021-10-01,18.36,19.2,14.82,20.37,19.84,11.43,13.91,18.8,50.77,2.398215281650873,19.921619856303053,16.859403530127803,15.420560747663558
2021-11-01,19.0,19.73,15.1,21.2,21.02,11.57,15.61,20.7,52.15,3.4858387799564294,21.328224776500647,17.58045292014303,16.87306501547987
2021-12-01,21.58,22.35,15.9,24.7,23.07,11.69,21.39,24.6,58.22,13.578947368421046,36.065573770491795,31.936245572609213,22.307692307692317
2022-01-01,23.98,23.9,17.16,27.71,29.4,12.02,25.37,30.7,58.32,11.121408711770165,48.6670799752015,39.4399066511085,29.607250755287005
2022-02-01,25.13,24.79,17.78,29.16,30.58,12.28,24.83,36.0,62.84,4.795663052543775,54.45605408727721,44.04416037187679,32.88490284005978
2022-03-01,26.5,25.88,18.52,30.87,33.94,12.49,26.43,40.1,65.65,5.4516514126542015,61.094224924012174,48.394495412844016,36.67896678966789
2022-04-01,28.42,27.06,19.4,33.36,36.53,12.72,28.41,48.6,74.31,7.245283018867932,69.97607655502394,52.36486486486485,42.12454212454211
2022-05-01,29.27,27.99,20.13,34.28,37.59,13.01,33.28,53.9,76.85,2.9908515130189883,73.5032602252519,56.02006688963208,45.7639391745112
2022-06-01,30.72,28.92,20.93,36.08,43.66,13.42,37.91,61.1,87.13,4.953877690468045,78.6046511627907,57.2593800978793,48.756218905472636
2022-07-01,31.45,29.92,21.6,36.84,42.3,13.99,40.23,63.4,84.18,2.376302083333326,79.61165048543688,61.642355483522415,51.472650771388516
2022-08-01,31.91,30.85,22.28,37.18,41.16,14.6,41.99,65.7,82.55,1.4626391096979274,80.18068887634104,66.03875134553286,54.293628808864284
2022-09-01,32.89,31.7,23.15,38.22,44.21,15.4,36.74,67.1,82.06,3.0711375744280733,83.43558282208589,68.08059384941676,57.805044308111775
2022-10-01,34.05,32.72,23.76,39.69,45.25,16.15,37.34,68.9,81.07,3.5269078747339533,85.45751633986927,70.41666666666666,60.32388663967612
2022-11-01,35.04,33.33,24.27,40.93,45.83,16.68,37.47,70.1,84.83,2.907488986784146,84.42105263157896,68.93056259503294,60.72847682119205
2022-12-01,35.45,33.95,24.72,41.32,44.86,17.2,34.92,67.5,84.04,1.170091324200917,64.27247451343841,51.901565995525736,55.47169811320754
2023-01-01,37.81,36.56,27.86,43.17,45.58,18.88,30.44,60.6,80.6,6.657263751763054,57.67306088407007,52.97071129707114,62.35431235431235
2023-02-01,39.0,37.34,28.74,44.53,45.87,19.38,30.75,57.3,75.88,3.147315524993388,55.19299641862317,50.62525211778946,61.64229471316083
2023-03-01,39.89,38.14,29.62,45.41,46.04,20.33,31.63,57.1,78.76,2.2820512820512784,50.52830188679245,47.37248840803709,59.935205183585325
2023-04-01,40.84,39.36,30.77,46.23,44.27,21.21,31.02,55.5,71.58,2.381549260466298,43.70161857846586,45.45454545454546,58.60824742268043
2023-05-01,40.86,41.04,32.19,45.4,34.97,22.31,29.84,53.0,68.78,0.048971596474034484,39.59685685001708,46.62379421221865,59.910581222056635
2023-06-01,42.46,42.62,33.37,47.23,36.45,23.6,30.65,51.4,72.65,3.9158100832109577,38.21614583333335,47.372060857538024,59.43621595795507
2023-07-01,46.49,46.71,36.64,51.65,41.09,25.41,33.21,49.9,74.53,9.491285916156379,47.82193958664547,56.116310160427794,69.62962962962962
2023-08-01,50.71,50.86,40.01,56.32,46.94,27.42,42.01,57.6,88.27,9.077220907722094,58.915700407395796,64.86223662884927,79.57809694793534
2023-09-01,53.12,53.55,43.16,58.25,48.74,30.03,44.94,58.6,80.94,4.752514296982846,61.50805716023107,68.92744479495268,86.43628509719221
2023-10-01,54.95,55.54,44.81,60.14,50.5,32.4,45.28,58.7,80.63,3.44503012048194,61.380323054331875,69.74327628361858,88.59427609427608
2023-11-01,56.75,56.63,46.05,62.26,55.54,34.34,43.94,59.2,78.74,3.2757051865332176,61.957762557077636,69.90699069906992,89.74042027194066
2023-12-01,58.41,57.93,47.14,64.24,57.06,35.87,41.23,57.9,76.77,2.9251101321585926,64.76727785613538,70.63328424153165,90.6957928802589
2024-01-01,62.33,62.32,52.86,67.19,60.57,39.99,39.09,55.5,75.29,6.711179592535532,64.85056863263685,70.45951859956234,89.73438621679828
2024-02-01,65.15,64.55,55.86,69.92,62.36,42.81,37.78,55.5,79.1,4.524306112626353,67.05128205128206,72.87091590787358,94.36325678496868
2024-03-01,67.21,66.83,58.2,71.83,63.23,45.52,36.7,55.8,80.01,3.161933998465072,68.4883429430935,75.22286313581542,96.48885887913572
2024-04-01,69.35,69.21,60.62,73.81,63.23,47.62,35.17,56.2,76.68,3.1840499925606336,69.8090107737512,75.83841463414633,97.01007474813127
2024-05-01,71.68,71.81,63.07,76.09,66.33,50.22,33.21,56.0,76.09,3.359769286229297,75.42829172785122,74.9756335282651,95.9304131717925
2024-06-01,72.86,73.05,65.16,76.78,67.28,52.78,31.79,56.2,71.49,1.646205357142838,71.59679698539803,71.39840450492727,95.26520827090201
2024-07-01,75.21,74.84,68.02,78.86,74.01,56.49,30.02,55.0,71.98,3.225363711227014,61.7767261776726,60.22265039606081,85.64410480349342
2024-08-01,77.07,77.08,71.15,80.05,79.07,60.66,28.71,53.8,73.14,2.473075388911039,51.981857621770835,51.55328352339757,77.83054236440891
2024-09-01,79.36,79.83,74.63,81.7,79.41,65.29,27.49,51.1,71.56,2.971324769689909,49.3975903614458,49.075630252100844,72.91473586654308
2024-10-01,81.64,82.06,76.09,84.42,80.48,68.88,27.44,49.5,67.23,2.872983870967749,48.571428571428555,47.7493698235506,69.80584690917206
2024-11-01,83.48,83.32,77.32,86.57,81.14,71.76,27.2,47.8,64.05,2.2537971582557548,47.1013215859031,47.13049620342573,67.90445168295332
2024-12-01,84.33,84.2,78.12,87.45,81.66,73.83,27.07,47.6,63.14,1.0182079540009603,44.37596302003082,45.347833592266525,65.71913449299957
2025-01-01,88.58,88.9,86.14,89.8,86.64,80.23,25.38,43.8,58.82,5.039724890311881,42.11455158029842,42.650834403080886,62.95875898600076
2025-02-01,90.59,90.5,89.25,91.27,89.75,84.43,25.26,41.9,59.18,2.2691352449762947,39.048349961627004,40.2013942680093,59.77443609022557
2025-03-01,92.82,91.83,90.99,93.74,89.77,87.29,24.55,41.1,59.25,2.461640357655348,38.10444874274661,37.40834954361814,56.340206185566984
2025-04-01,95.6,94.9,93.73,96.54,93.65,90.09,25.56,41.7,59.3,2.9950441715147713,37.85147801009372,37.11891345181335,54.61893764434183
2025-05-01,97.06,97.21,95.35,97.92,95.65,92.88,25.06,41.0,59.86,1.5271966527196756,35.407366071428555,35.37111822865895,51.18122720786427
2025-06-01,98.4,99.08,97.95,98.62,97.82,96.57,24.56,39.8,52.99,1.3805893261899849,35.05352731265441,35.633127994524294,50.322283609576445
2025-07-01,100.42,100.81,101.03,100.12,105.01,101.1,23.39,39.0,54.53,2.0528455284552827,33.519478792713755,34.700694815606624,48.52984416348134
2025-08-01,102.47,102.52,103.71,101.84,105.68,105.76,22.84,37.7,54.07,2.041426010754832,32.95705203062151,33.00467047223663,45.76247364722414
2025-09-01,105.78,105.81,107.96,104.68,106.99,110.4,22.25,36.8,52.99,3.2302137210890924,33.291330645161295,32.54415633220595,44.660324266380805
2025-10-01,108.48,108.37,109.9,107.76,108.36,114.53,23.26,36.3,54.39,2.552467385138968,32.87604115629594,32.06190592249574,44.434222631094755
2025-11-01,109.42,109.69,111.5,108.37,110.38,117.39,23.49,35.7,52.24,0.8665191740413025,31.073310972688063,31.64906385021604,44.20589756854631
2025-12-01,110.39,110.37,112.49,109.33,110.29,119.32,23.35,34.8,50.9,0.8864924145494335,30.902407209771134,31.080760095011883,43.99641577060931
2026-01-01,115.73,115.4,120.8,112.89,112.82,125.6,22.2,32.9,48.81,4.837394691548158,30.650259652291712,29.808773903262086,40.2368237752496
2026-02-01,119.16,117.16,124.65,116.07,115.05,129.94,22.1,32.0,48.81,2.9637950401797175,31.537697317584712,29.45856353591161,39.6638655462185
2026-03-01,121.47,119.08,127.63,117.98,120.51,133.08,22.17,32.9,49.89,1.9385699899295172,30.866192630898514,29.674398344767503,40.2681613364106
